id,date_time,item_category,item_name,item_description,uom_id,units,store_id,user_id,cost,
2626,2018-03-06,9,"Gunmetal (GM) Ball valve with SS Ball and SS Spindle as per IS - Class - I, Indian make heavy type 50 mm Zoloto / Bull / Idal",,12,1,14,0,0,
2627,2018-03-06,9,N.P Stop Cock Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,6,
2628,2018-03-06,9,Concelled Stop Cock Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,0,
2629,2018-03-06,9,Angle Stop Cock Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,8,
2630,2018-03-06,9,NP Bib Tap Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,0,
2631,2018-03-06,9,NP Bib Tap Indian Make 3 First Quality Heavey Duty 12.7 mm Seiko / senior / nice / equvelent,,12,1,14,0,1,
2632,2018-03-06,9,Brass Stop Cock Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,0,
2633,2018-03-06,9,CP long body bib cock fancy type Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,0,
2634,2018-03-06,9,CP Short body bib cock fancy type Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,0,
2635,2018-03-06,9,Heavy duty Dia highneck pillar cock Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,0,
2636,2018-03-06,9,Heavy duty Dia NP swan neck pillar cock Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,0,
2637,2018-03-06,9,Heavy duty Dia NP sink cock Indian Make First Quality Heavey Duty12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,0,
2638,2018-03-06,9,NP Pillar Cock  Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,23,
2639,2018-03-06,9,NP push cock Indian Make First Quality Heavey Duty 12.7mm Seiko / senior / nice / equvelent,,12,1,14,0,13,
