Module,Team Count,Value Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
20,2,PEF_PER,0,0,70,70,70,70,0,70,70,70,70,70,70,0,0,0,0,27,41,55,0,59,62,66,70,0,70,0,70,70,70
20,2,SAH_HRS,0,0,5,3,63,189,0,189,189,189,177,189,133,0,0,0,0,74,111,148,0,159,169,179,189,0,189,0,189,189,189
22,2,PP_PCS,0,0,0,79,1467,4154,0,4154,4151,3596,1241,2660,3991,0,0,0,0,4699,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,17,35,52,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,SAH_HRS,0,0,0,4,67,189,0,189,189,164,44,94,142,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,PP_PCS,0,0,0,215,1675,4150,0,4154,4154,4151,3880,4154,4154,0,0,0,0,1049,1429,2058,0,2311,2520,2683,2845,0,3007,0,2633,3024,3022
23,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,43,33,45,0,54,58,62,66,0,70,0,70,70,70
23,2,SAH_HRS,0,0,0,10,76,189,0,189,189,189,177,189,189,0,0,0,0,58,89,129,0,144,158,168,178,0,188,0,165,189,189
24,2,PP_PCS,0,0,0,0,753,4150,0,4149,4154,4153,3872,4154,3824,0,0,0,0,1244,1866,2488,0,2658,2830,2999,3168,0,3168,0,3168,3168,3165
24,2,PEF_PER,0,0,0,0,70,70,0,70,70,70,70,70,70,0,0,0,0,27,41,55,0,59,62,66,70,0,70,0,70,70,70
24,2,SAH_HRS,0,0,0,0,34,189,0,189,189,189,176,189,174,0,0,0,0,74,111,148,0,159,169,179,189,0,189,0,189,189,189
25,2,PP_PCS,0,0,523,0,2338,4139,0,4139,4139,4144,1119,2080,3106,0,0,0,0,4164,4295,4295,0,4295,4295,4295,4295,0,4295,0,4295,4300,4299
25,2,PEF_PER,0,0,70,0,70,70,0,70,70,70,43,34,51,0,0,0,0,68,70,70,0,70,70,70,70,0,70,0,70,70,70
25,2,SAH_HRS,0,0,23,0,107,189,0,189,189,189,50,92,137,0,0,0,0,183,189,189,0,189,189,189,189,0,189,0,189,189,189
27,2,PP_PCS,0,0,31,1940,2887,4139,0,4139,4139,1384,764,1833,2784,0,0,0,0,3736,1550,1449,0,0,0,0,0,0,0,0,0,0,0
27,2,PEF_PER,0,0,70,70,70,70,0,70,70,70,16,34,51,0,0,0,0,69,41,30,0,0,0,0,0,0,0,0,0,0,0
27,2,SAH_HRS,0,0,1,89,132,189,0,189,189,63,38,91,138,0,0,0,0,186,79,80,0,0,0,0,0,0,0,0,0,0,0
28,2,PP_PCS,0,0,192,265,2256,0,0,1310,2052,2748,2760,3141,3323,0,0,0,0,3531,3533,1131,0,1603,2472,1836,1511,0,2088,0,1224,1828,2438
28,2,PEF_PER,0,0,70,70,70,0,0,27,41,54,59,62,66,0,0,0,0,70,70,43,0,33,50,45,36,0,50,0,42,41,55
28,2,SAH_HRS,0,0,12,16,138,0,0,70,110,147,148,168,178,0,0,0,0,189,189,61,0,88,135,106,97,0,135,0,75,111,148
29,2,PP_PCS,0,0,32,0,0,4119,0,4139,4139,555,796,1707,2136,0,0,0,0,1330,2658,3987,0,5323,5329,5066,1427,0,2138,0,2855,3046,3243
29,2,PEF_PER,0,0,70,0,0,70,0,70,70,70,17,35,52,0,0,0,0,17,35,52,0,70,70,70,27,0,41,0,55,59,62
29,2,SAH_HRS,0,0,1,0,0,188,0,189,189,25,44,94,118,0,0,0,0,47,94,142,0,189,189,180,74,0,111,0,148,158,169
30,2,PP_PCS,0,0,0,371,1061,3072,0,4136,4139,4139,3863,2174,0,0,0,0,0,1283,1925,2567,0,2745,2918,3094,3271,0,3268,0,3268,3271,3268
30,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,0,0,0,0,0,27,41,55,0,59,62,66,70,0,70,0,70,70,70
30,2,SAH_HRS,0,0,0,17,48,140,0,189,189,189,176,99,0,0,0,0,0,74,111,148,0,159,169,179,189,0,189,0,189,189,189
40,2,PP_PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,1583,0,2111,2248,2399,2552,0,2688,0,2688,2688,2689
40,2,PEF_PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,41,0,55,59,62,68,0,70,0,70,70,70
40,2,SAH_HRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,99,0,132,140,150,160,0,168,0,168,168,168
34,2,PP_PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,1659,2209,0,2363,2514,2664,2815,0,2816,0,2816,2816,2817
34,2,PEF_PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,41,55,0,59,62,66,70,0,70,0,70,70,70
34,2,SAH_HRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,99,132,0,141,150,159,168,0,168,0,168,168,168
41,2,PP_PCS,0,0,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,0,1659,2212,2363,0,2514,2665,2814,2816,0,2815,0,2816,2816,2816
41,2,PEF_PER,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,41,55,59,0,62,66,70,70,0,70,0,70,70,70
41,2,SAH_HRS,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,99,132,141,0,150,159,168,168,0,168,0,168,168,168
44,2,PP_PCS,0,0,0,0,853,3679,0,3683,3591,3679,2231,0,690,0,0,0,0,1380,2070,2761,0,2762,2891,2959,2959,0,2673,0,2961,2959,2959
44,2,PEF_PER,0,0,0,0,70,70,0,70,70,70,70,0,17,0,0,0,0,35,52,70,0,70,72,75,75,0,75,0,75,75,75
44,2,SAH_HRS,0,0,0,0,39,168,0,168,164,168,102,0,42,0,0,0,0,84,126,168,0,168,176,180,180,0,163,0,180,180,180
47,2,PP_PCS,0,0,0,949,1014,2828,0,3612,3679,3021,0,123,959,0,0,0,0,1631,2303,2688,0,2688,2470,2596,2809,0,2880,0,2880,2880,2880
47,2,PEF_PER,0,0,0,19,36,54,0,70,70,70,0,7,25,0,0,0,0,42,60,70,0,70,67,68,72,0,75,0,75,75,75
47,2,SAH_HRS,0,0,0,43,46,129,0,165,168,138,0,8,60,0,0,0,0,102,144,168,0,168,154,162,176,0,180,0,180,180,180
49,2,PP_PCS,0,0,0,0,0,0,0,0,0,0,2213,2555,2555,0,0,0,0,2555,2558,2555,0,2555,2555,2555,2555,0,2558,0,2555,2555,2555
49,2,PEF_PER,0,0,0,0,0,0,0,0,0,0,55,55,55,0,0,0,0,55,55,55,0,55,55,55,55,0,55,0,55,55,55
49,2,SAH_HRS,0,0,0,0,0,0,0,0,0,0,114,132,132,0,0,0,0,132,132,132,0,132,132,132,132,0,132,0,132,132,132
50,2,PP_PCS,0,0,0,0,376,3283,0,3676,3679,3382,2385,2555,2555,0,0,0,0,2555,2004,2950,0,3978,4114,4114,4114,0,4114,0,4114,2824,2555
50,2,PEF_PER,0,0,0,0,70,70,0,70,70,70,55,55,55,0,0,0,0,55,44,50,0,68,70,70,70,0,70,0,70,62,55
50,2,SAH_HRS,0,0,0,0,17,150,0,168,168,154,123,132,132,0,0,0,0,132,85,120,0,162,168,168,168,0,168,0,168,138,132
51,2,PP_PCS,0,0,0,62,2484,2613,0,3692,3692,3692,2455,2555,2555,0,0,0,0,2555,2559,2555,0,2555,2555,2555,2555,0,2552,0,2555,2555,2555
51,2,PEF_PER,0,0,0,50,69,70,0,70,70,70,62,55,55,0,0,0,0,55,55,55,0,55,55,55,55,0,55,0,55,55,55
51,2,SAH_HRS,0,0,0,3,113,119,0,168,168,168,125,132,132,0,0,0,0,132,132,132,0,132,132,132,132,0,132,0,132,132,132
52,2,PP_PCS,0,0,0,0,3587,2724,0,953,1908,2863,3563,3255,2555,0,0,0,0,2555,2512,2555,0,2555,2555,2555,2529,0,2555,0,2555,2555,2555
52,2,PEF_PER,0,0,0,0,70,70,0,17,35,52,70,62,55,0,0,0,0,55,55,55,0,55,55,55,55,0,55,0,55,55,55
52,2,SAH_HRS,0,0,0,0,164,124,0,42,84,126,157,152,132,0,0,0,0,132,130,132,0,132,132,132,131,0,132,0,132,132,132
53,2,PP_PCS,0,0,0,0,1763,3692,0,3643,3692,3584,2385,2555,2555,0,0,0,0,2555,907,1418,0,2177,2936,2812,2555,0,2403,0,2555,2555,2555
53,2,PEF_PER,0,0,0,0,63,70,0,70,70,70,55,55,55,0,0,0,0,55,35,33,0,50,68,62,55,0,55,0,55,55,55
53,2,SAH_HRS,0,0,0,0,80,168,0,166,168,163,123,132,132,0,0,0,0,132,49,78,0,120,162,151,132,0,124,0,132,132,132
